o:is_public,o:owner,dcterms:resource_class,o:resource_template,dcterms:title,o:item_set,dcterms:description,bibo:number,bibo:numPages
1,1,Collection,Album,Creation Of The World,12,"Album contains pages with stamps, souvenir leafs and stamps about the story of the creation.",5,29
1,1,Collection,Album,Genesis Flood Narrative,12,"Album contains pages with stamps, souvenir leafs and stamps about the story of Noah and the Flood.",8,30
1,1,Collection,Album,Israelites In Egypt,12,"Album contains pages with stamps, souvenir leafs and stamps about the story of Joseph, Moses and Israelites In Egypt.",12,30
1,1,Collection,Album,Exodus From Egypt,12,"Album contains pages with stamps, souvenir leafs and stamps about the story of Exodus from Egypt.",14,21
